exp_time,od_measured,Van,OC6,IPTG,FP1_emit1,FP2_emit1,growth_rate
112786.25,0.475967098,5.5,139,1000,0.049500105,0.04737422,1.058335958
112846.3,0.431787502,5.5,139,1000,0.047778149,0.046769346,1.058335958
112906.34,0.43701748,5.5,139,1000,0.048150163,0.046771827,1.058335958
112966.4,0.454956152,5.5,139,1000,0.049706117,0.047673532,1.058335958
113026.45,0.457927365,5.5,139,1000,0.049556636,0.048130322,1.058335958
113086.5,0.46804957,5.5,139,1000,0.052313415,0.048039757,1.058335958
113146.54,0.488234245,5.5,139,1000,0.04899252,0.048611111,1.058335958
113206.57,0.505462867,5.5,139,1000,0.049096304,0.048474281,1.109456991
113266.63,0.492992147,5.5,139,1000,0.049493063,0.049491292,0.979040141
113326.7,0.490577562,5.5,139,1000,0.050403365,0.049488055,0.915358588
113386.77,0.519696819,5.5,139,1000,0.050552923,0.050050899,1.042577276
113446.83,0.508735041,5.5,139,1000,0.049422003,0.050584336,0.926493608
113506.88,0.540863628,5.5,139,1000,0.047972484,0.05115733,1.063888446
113566.95,0.555709808,5.5,139,1000,0.050481568,0.050784283,1.063888446
113626.99,0.498776661,5.5,139,1000,0.052795933,0.052077944,1.063888446
113687.04,0.495842732,5.5,139,1000,0.050898837,0.051254672,1.063888446
113747.1,0.452548334,5.5,139,1000,0.053332283,0.051466619,1.063888446
113807.16,0.455780923,5.5,139,1000,0.051497713,0.051774077,1.063888446
113867.22,0.466250489,5.5,139,1000,0.050100062,0.052444444,1.063888446
113927.27,0.476897552,5.5,139,1000,0.050725659,0.052649809,1.063888446
113987.34,0.495210995,5.5,139,1000,0.051368876,0.053761564,1.063888446
114047.37,0.524309892,5.5,139,1000,0.04987378,0.053092784,1.063888446
114107.44,0.526210651,5.5,139,1000,0.052148957,0.053467001,1.021550131
114167.49,0.497489546,5.5,139,1000,0.052018252,0.054302423,0.80209143
114227.56,0.525580507,5.5,139,1000,0.049647621,0.055410265,0.926773363
114287.61,0.52470037,5.5,139,1000,0.050574418,0.055793991,0.875406688
114347.69,0.537666619,5.5,139,1000,0.052631579,0.055413606,0.904870326
114407.75,0.574489297,5.5,139,1000,0.050416428,0.055564202,1.058355111
114467.82,0.588562831,5.5,139,1000,0.049367923,0.057341993,1.058355111
114527.85,0.541426762,5.5,139,1000,0.051769288,0.057600545,1.058355111
114587.9,0.487980434,5.5,139,1000,0.05257425,0.056981065,1.058355111
114647.96,0.439017809,5.5,139,1000,0.052237711,0.057032115,1.058355111
114708.03,0.449296153,5.5,139,1000,0.053167075,0.0568878,1.058355111
114768.07,0.458898853,5.5,139,1000,0.051051262,0.0572231,1.058355111
114828.12,0.466488107,5.5,139,1000,0.052449864,0.057446425,1.058355111
114888.16,0.469934484,5.5,139,1000,0.050136494,0.058143608,1.058355111
114948.21,0.498654737,5.5,139,1000,0.052970548,0.058711794,1.058355111
115008.26,0.508764706,5.5,139,1000,0.050351288,0.059002023,1.065652442
115068.31,0.510600873,5.5,139,1000,0.052350647,0.060337481,1.023177537
115128.35,0.516701583,5.5,139,1000,0.05227473,0.06144497,1.007650514
115188.39,0.51566912,5.5,139,1000,0.050625675,0.060999039,0.951267452
115248.46,0.543167649,5.5,139,1000,0.052826629,0.06049936,1.059562173
115308.53,0.548355118,5.5,139,1000,0.050997641,0.061385184,1.059562173
115368.59,0.511509227,5.5,139,1000,0.052712744,0.062678063,1.059562173
115428.64,0.477108228,5.5,139,1000,0.052077445,0.061001789,1.059562173
115488.7,0.428994093,5.5,139,1000,0.05171798,0.060993426,1.059562173
115548.74,0.451027975,5.5,139,1000,0.05292376,0.06101632,1.059562173
115608.79,0.45405529,5.5,139,1000,0.051032636,0.060338983,1.059562173
115668.84,0.460930307,5.5,139,1000,0.051396961,0.061857497,1.059562173
115728.9,0.482826314,5.5,139,1000,0.052749153,0.063058137,1.059562173
115788.96,0.482019606,5.5,139,1000,0.053198505,0.063033258,1.059562173
115849.04,0.509217898,5.5,139,1000,0.050529324,0.063147344,1.17125774
115909.08,0.487737294,5.5,139,1000,0.054415239,0.064194246,0.983397591
